x,y,z,cu,value,UPL,angulo
24476.0,24816.0,3600.0,0.399,-44236.8,0.0,53
24492.0,24816.0,3600.0,0.516,-44236.8,0.0,53
24508.0,24816.0,3600.0,0.545,2986.187,0.0,53
24524.0,24816.0,3600.0,0.371,-44236.8,0.0,53
24540.0,24816.0,3600.0,0.24,-44236.8,0.0,53
24556.0,24816.0,3600.0,0.19,-44236.8,0.0,53
24572.0,24816.0,3600.0,0.179,-44236.8,0.0,53
24588.0,24816.0,3600.0,0.16699999999999998,-44236.8,0.0,53
24604.0,24816.0,3600.0,0.16399999999999998,-44236.8,0.0,53
24620.0,24816.0,3600.0,0.161,-44236.8,0.0,53
24636.0,24816.0,3600.0,0.08199999999999999,-44236.8,0.0,53
24652.0,24816.0,3600.0,0.037000000000000005,-44236.8,0.0,53
24668.0,24816.0,3600.0,0.028,-44236.8,0.0,53
24684.0,24816.0,3600.0,0.058,-44236.8,0.0,53
24700.0,24816.0,3600.0,0.08,-44236.8,0.0,53
24716.0,24816.0,3600.0,0.119,-44236.8,0.0,53
24732.0,24816.0,3600.0,0.18600000000000005,-44236.8,0.0,53
24748.0,24816.0,3600.0,0.188,-44236.8,0.0,53
24764.0,24816.0,3600.0,0.253,-44236.8,0.0,53
24780.0,24816.0,3600.0,0.255,-44236.8,0.0,53
24796.0,24816.0,3600.0,0.192,-44236.8,0.0,53
24812.0,24816.0,3600.0,0.191,-44236.8,0.0,53
24828.0,24816.0,3600.0,0.162,-44236.8,0.0,53
24844.0,24816.0,3600.0,0.138,-44236.8,0.0,53
24860.0,24816.0,3600.0,0.269,-44236.8,0.0,53
24876.0,24816.0,3600.0,0.294,-44236.8,0.0,53
24892.0,24816.0,3600.0,0.327,-44236.8,0.0,53
24908.0,24816.0,3600.0,0.29,-44236.8,0.0,60
24924.0,24816.0,3600.0,0.273,-44236.8,0.0,60
24940.0,24816.0,3600.0,0.251,-44236.8,0.0,60
24956.0,24816.0,3600.0,0.177,-44236.8,0.0,60
24972.0,24816.0,3600.0,0.16399999999999998,-44236.8,0.0,60
24988.0,24816.0,3600.0,0.184,-44236.8,0.0,60
24300.0,24832.0,3600.0,0.158,-44236.8,0.0,53
24316.0,24832.0,3600.0,0.101,-44236.8,0.0,53
24332.0,24832.0,3600.0,0.08900000000000001,-44236.8,0.0,53
24348.0,24832.0,3600.0,0.163,-44236.8,0.0,53
